Month,Calendar_Year,Financial_Year,IEX_DAM_Average_MCP_Rs_per_kWh,Statistic,,Matching cell,Matching Year,Power Exchange,2022 Market Share (%),2026 Market Share (%)
January-2017,2017,FY 2016-17,2.5,Maximum,10.1,65,FY 2022-23,IEX,95,84-90
February-2017,2017,FY 2016-17,2.54,Minimum,2.46,40,FY 2020-21,PXIL,5,8-11
March-2017,2017,FY 2016-17,2.56,,,,,HPX,0,2-5
April-2017,2017,FY 2017-18,2.77,,,,,,,
May-2017,2017,FY 2017-18,2.92,,,,,HHI,8872,7362
June-2017,2017,FY 2017-18,2.59,,,,,,,
July-2017,2017,FY 2017-18,2.49,,,,,,,
August-2017,2017,FY 2017-18,3.13,,,,,,,
September-2017,2017,FY 2017-18,4.09,,,,,,,
October-2017,2017,FY 2017-18,4.08,,,,,,,
November-2017,2017,FY 2017-18,3.55,,,,,,,
December-2017,2017,FY 2017-18,3,,,,,,,
January-2018,2018,FY 2017-18,3.2,,,,,,,
February-2018,2018,FY 2017-18,3.24,,,,,,,
March-2018,2018,FY 2017-18,4.02,,,,,,,
April-2018,2018,FY 2018-19,4.03,,,,,,,
May-2018,2018,FY 2018-19,4.76,,,,,,,
June-2018,2018,FY 2018-19,3.86,,,,,,,
July-2018,2018,FY 2018-19,3.59,,,,,,,
August-2018,2018,FY 2018-19,3.43,,,,,,,
September-2018,2018,FY 2018-19,4.99,,,,,,,
October-2018,2018,FY 2018-19,6.13,,,,,,,
November-2018,2018,FY 2018-19,3.82,,,,,,,
December-2018,2018,FY 2018-19,3.5,,,,,,,
January-2019,2019,FY 2018-19,3.63,,,,,,,
February-2019,2019,FY 2018-19,3.31,,,,,,,
March-2019,2019,FY 2018-19,3.28,,,,,,,
April-2019,2019,FY 2019-20,3.22,,,,,,,
May-2019,2019,FY 2019-20,3.34,,,,,,,
June-2019,2019,FY 2019-20,3.34,,,,,,,
July-2019,2019,FY 2019-20,3.38,,,,,,,
August-2019,2019,FY 2019-20,3.32,,,,,,,
September-2019,2019,FY 2019-20,2.77,,,,,,,
October-2019,2019,FY 2019-20,2.71,,,,,,,
