Month,Calendar_Year,MCP,Period,Trend,Cap,CoalShock,Summer
January-2017,2017,2.5,2017-01,1,0,0,0
February-2017,2017,2.54,2017-02,2,0,0,0
March-2017,2017,2.56,2017-03,3,0,0,0
April-2017,2017,2.77,2017-04,4,0,0,1
May-2017,2017,2.92,2017-05,5,0,0,1
June-2017,2017,2.59,2017-06,6,0,0,1
July-2017,2017,2.49,2017-07,7,0,0,0
August-2017,2017,3.13,2017-08,8,0,0,0
September-2017,2017,4.09,2017-09,9,0,0,0
October-2017,2017,4.08,2017-10,10,0,0,0
November-2017,2017,3.55,2017-11,11,0,0,0
December-2017,2017,3.0,2017-12,12,0,0,0
January-2018,2018,3.2,2018-01,13,0,0,0
February-2018,2018,3.24,2018-02,14,0,0,0
March-2018,2018,4.02,2018-03,15,0,0,0
April-2018,2018,4.03,2018-04,16,0,0,1
May-2018,2018,4.76,2018-05,17,0,0,1
June-2018,2018,3.86,2018-06,18,0,0,1
July-2018,2018,3.59,2018-07,19,0,0,0
August-2018,2018,3.43,2018-08,20,0,0,0
September-2018,2018,4.99,2018-09,21,0,0,0
October-2018,2018,6.13,2018-10,22,0,0,0
November-2018,2018,3.82,2018-11,23,0,0,0
December-2018,2018,3.5,2018-12,24,0,0,0
January-2019,2019,3.63,2019-01,25,0,0,0
February-2019,2019,3.31,2019-02,26,0,0,0
March-2019,2019,3.28,2019-03,27,0,0,0
April-2019,2019,3.22,2019-04,28,0,0,1
May-2019,2019,3.34,2019-05,29,0,0,1
June-2019,2019,3.34,2019-06,30,0,0,1
July-2019,2019,3.38,2019-07,31,0,0,0
August-2019,2019,3.32,2019-08,32,0,0,0
September-2019,2019,2.77,2019-09,33,0,0,0
October-2019,2019,2.71,2019-10,34,0,0,0
November-2019,2019,2.85,2019-11,35,0,0,0
December-2019,2019,2.93,2019-12,36,0,0,0
January-2020,2020,2.86,2020-01,37,0,0,0
February-2020,2020,2.91,2020-02,38,0,0,0
March-2020,2020,2.46,2020-03,39,0,0,0
April-2020,2020,3.97,2020-04,40,0,0,1
May-2020,2020,4.2,2020-05,41,0,0,1
June-2020,2020,3.32,2020-06,42,0,0,1
July-2020,2020,3.93,2020-07,43,0,0,0
August-2020,2020,3.76,2020-08,44,0,0,0
September-2020,2020,3.62,2020-09,45,0,0,0
October-2020,2020,3.12,2020-10,46,0,0,0
November-2020,2020,3.0,2020-11,47,0,0,0
December-2020,2020,2.91,2020-12,48,0,0,0
January-2021,2021,2.93,2021-01,49,0,0,0
February-2021,2021,3.11,2021-02,50,0,0,0
March-2021,2021,3.14,2021-03,51,0,0,0
April-2021,2021,3.48,2021-04,52,0,0,1
May-2021,2021,3.45,2021-05,53,0,0,1
June-2021,2021,3.7,2021-06,54,0,0,1
July-2021,2021,4.07,2021-07,55,0,0,0
August-2021,2021,4.44,2021-08,56,0,0,0
September-2021,2021,5.06,2021-09,57,0,0,0
October-2021,2021,8.01,2021-10,58,0,1,0
November-2021,2021,3.08,2021-11,59,0,1,0
December-2021,2021,3.68,2021-12,60,0,1,0
